site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,distance
ANDREW_MOLERA_DC,-121.873038,36.276089,2020,INNER,2,NERLUE,5,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2020,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2020,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2021,INNER,1,NERLUE,120,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2021,INNER,2,NERLUE,87,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2021,MID,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2021,MID,2,NERLUE,98,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2021,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2021,OUTER,2,NERLUE,105,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2023,INNER,1,NERLUE,32,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2023,INNER,2,NERLUE,8,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2023,MID,1,NERLUE,144,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2023,MID,2,NERLUE,35,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2023,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2023,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2004,INNER,1,NERLUE,54,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2004,INNER,2,NERLUE,121,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2004,MID,1,NERLUE,152,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2004,MID,2,NERLUE,68,pisco,NA
ANDREW_MOLERA_UC,-121.875988,36.277685,2004,OUTER,1,NERLUE,52,pisco,NA
