site,longitude,latitude,year,zone,transect,survey,den_macpyr,final_depth,depth_origin,den_urchin,Wave_Mean,Wave_Max,Wave_95prc,Wave_99prc,ubr_mean,ubr_max,ID,Max_Nitrate,Max_Temp,Mean_Nitrate,Mean_Summer_Nitrate,Mean_Summer_Temp,Mean_Temp,Mean_Upwelling_Nitrate,Mean_Upwelling_Temp,Min_Nitrate,Min_Temp
120_REEF,-118.39227,33.73749,2010,INNER,1,pisco,0.2833333333333333,6.5,insitu,1.4,2.28852343559265,2.28852343559265,2.28852343559265,2.28852343559265,81.08,77.49,1,1.91853355992258,18.230000000000004,0.6703340483404313,0.13386518810329032,17.675926881720432,16.023505952380955,0.9600497194306755,14.790821620583717,0.11581739095806451,14.600322580645162
120_REEF,-118.39227,33.73749,2010,INNER,2,pisco,0.4,7,insitu,0.03333333333333333,2.28852343559265,2.28852343559265,2.28852343559265,2.28852343559265,81.08,77.49,1,1.91853355992258,18.230000000000004,0.6703340483404313,0.13386518810329032,17.675926881720432,16.023505952380955,0.9600497194306755,14.790821620583717,0.11581739095806451,14.600322580645162
120_REEF,-118.39227,33.73749,2010,MID,1,pisco,0.35,11,insitu,0,2.28852343559265,2.28852343559265,2.28852343559265,2.28852343559265,81.08,77.49,1,1.91853355992258,18.230000000000004,0.6703340483404313,0.13386518810329032,17.675926881720432,16.023505952380955,0.9600497194306755,14.790821620583717,0.11581739095806451,14.600322580645162
120_REEF,-118.39227,33.73749,2010,MID,2,pisco,0.2833333333333333,11,insitu,0,2.28852343559265,2.28852343559265,2.28852343559265,2.28852343559265,81.08,77.49,1,1.91853355992258,18.230000000000004,0.6703340483404313,0.13386518810329032,17.675926881720432,16.023505952380955,0.9600497194306755,14.790821620583717,0.11581739095806451,14.600322580645162
120_REEF,-118.39227,33.73749,2011,INNER,1,pisco,0.4666666666666667,5.5,insitu,5.55,2.38102531433105,2.38102531433105,2.38102531433105,2.38102531433105,81.08,63.72,1,3.844624314577419,19.167741935483868,0.9491244731819525,0.14249398036559136,18.124350537634406,16.116529971573353,1.7526457039739762,14.531896366332962,0.08673607157096769,13.306129032258065
120_REEF,-118.39227,33.73749,2011,INNER,2,pisco,0.13333333333333333,5.5,insitu,8.75,2.38102531433105,2.38102531433105,2.38102531433105,2.38102531433105,81.08,63.72,1,3.844624314577419,19.167741935483868,0.9491244731819525,0.14249398036559136,18.124350537634406,16.116529971573353,1.7526457039739762,14.531896366332962,0.08673607157096769,13.306129032258065
120_REEF,-118.39227,33.73749,2011,MID,1,pisco,0.7333333333333333,7,insitu,0.43333333333333335,2.38102531433105,2.38102531433105,2.38102531433105,2.38102531433105,81.08,63.72,1,3.844624314577419,19.167741935483868,0.9491244731819525,0.14249398036559136,18.124350537634406,16.116529971573353,1.7526457039739762,14.531896366332962,0.08673607157096769,13.306129032258065
120_REEF,-118.39227,33.73749,2011,MID,2,pisco,0.6333333333333333,8,insitu,2.183333333333333,2.38102531433105,2.38102531433105,2.38102531433105,2.38102531433105,81.08,63.72,1,3.844624314577419,19.167741935483868,0.9491244731819525,0.14249398036559136,18.124350537634406,16.116529971573353,1.7526457039739762,14.531896366332962,0.08673607157096769,13.306129032258065
120_REEF,-118.39227,33.73749,2012,INNER,1,pisco,0.08333333333333333,4,insitu,3.25,1.7619401216507,1.7619401216507,1.7619401216507,1.7619401216507,64.89,59.95,1,4.151946622638709,20.451,0.9150194504526996,0.0725892580972473,19.31665376344086,16.792922219022017,2.148296347677803,14.514728686635944,0.10838423687096775,13.170322580645161
120_REEF,-118.39227,33.73749,2012,INNER,2,pisco,0.15,5,insitu,4.3,1.7619401216507,1.7619401216507,1.7619401216507,1.7619401216507,64.89,59.95,1,4.151946622638709,20.451,0.9150194504526996,0.0725892580972473,19.31665376344086,16.792922219022017,2.148296347677803,14.514728686635944,0.10838423687096775,13.170322580645161
