site,latitude,longitude,survey
LOPEZ_UC,36.02901,-121.581676,pisco
BIG_CREEK_DC,36.069079,-121.605115,pisco
BIG_CREEK_UC,36.069152,-121.60804,pisco
WESTON_UC,36.512613,-121.948765,pisco
WESTON_DC,36.510347,-121.945786,pisco
ESALEN_DC,36.124409,-121.647987,pisco
ESALEN_UC,36.128113,-121.653046,pisco
LOPEZ_DC,36.022241,-121.581233,pisco
CAMBRIA_UC,35.570495,-121.127145,pisco
CAMBRIA_DC,35.567893,-121.124319,pisco
WHITE_ROCK_DC,35.525649,-121.084627,pisco
WHITE_ROCK_UC,35.5271,-121.089899,pisco
CAYUCOS_DC,35.434393,-120.947256,pisco
CAYUCOS_UC,35.43415,-120.950473,pisco
LA_CRUZ_DC,35.710426,-121.324076,pisco
LA_CRUZ_UC,35.713009,-121.325389,pisco
SAN_SIMEON_DC,35.631667,-121.190248,pisco
SAN_SIMEON_UC,35.630567,-121.19494,pisco
MILL_CREEK_DC,35.972098,-121.491162,pisco
MILL_CREEK_UC,35.975929,-121.493489,pisco
PLASKETT_DC,35.912913,-121.480079,pisco
PLASKETT_UC,35.915871,-121.478733,pisco
ANDREW_MOLERA_DC,36.276089,-121.873038,pisco
PESCADERO_DC,36.559412,-121.955191,pisco
PESCADERO_UC,36.561121,-121.959761,pisco
ANDREW_MOLERA_UC,36.277685,-121.875988,pisco
SOUTH_WRECK_DC,36.223864,-121.787408,pisco
SOUTH_WRECK_UC,36.225295,-121.790545,pisco
BUTTERFLY_DC,36.537439,-121.93567,pisco
BUTTERFLY_UC,36.539655,-121.936297,pisco
PALO_COLORADO,36.397717,-121.911431,pisco
SOBERANES,36.445343,-121.929144,pisco
MALPASO,36.465747,-121.933984,pisco
OTTER_PT_DC,36.636484,-121.921162,pisco
OTTER_PT_UC,36.634633,-121.918929,pisco
LOVERS_DC,36.625774,-121.910735,pisco
LOVERS_UC,36.62422,-121.909082,pisco
CYPRESS_PT_DC,36.579645,-121.982468,pisco
SIREN,36.630733,-121.91859,pisco
CANNERY_DC,36.614953,-121.896037,pisco
CANNERY_UC,36.612639,-121.894574,pisco
LONE_TREE,36.566418,-121.970688,pisco
MONTANA_DE_ORO,35.23323,-120.89081,pisco
PINOS,36.640454,-121.928734,pisco
TENERA,35.238631,-120.895481,pisco
ESTERO,35.472387,-121.029631,pisco
HARMONY,35.49641,-121.057808,pisco
COOPER,36.263146,-121.856608,pisco
FALSE_SUR,36.277556,-121.886822,pisco
BUCHON,35.244079,-120.901098,pisco
CROWBAR,35.226163,-120.881427,pisco
BIXBY,36.368468,-121.907499,pisco
LITTLE_IRISH_UC,35.18421,-120.825084,pisco
LITTLE_IRISH_DC,35.175931,-120.812501,pisco
GREEN_PEAK,35.190104,-120.830687,pisco
LITTLE_IRISH_CEN,35.178059,-120.817733,pisco
STEWARTS_POINT_MPA_1,38.6668,-123.42064,pisco
SAUNDERS_MPA_4,38.83573,-123.64898,pisco
DEL_MAR_REFERENCE_3,38.70378,-123.4564,pisco
DEL_MAR_REFERENCE_2,38.71557,-123.4698,pisco
STEWARTS_POINT_MPA_2,38.65073,-123.40953,pisco
ROCKY_POINT_N,33.78093,-118.42999,pisco
SCAI_RIPPERS_COVE,33.42815,-118.43547,pisco
SBI_SOUTHEAST_SEALION,33.46878,-119.02882,pisco
POINT_VICENTE_W,33.73974,-118.41369,pisco
ROCKY_POINT_S,33.77601668,-118.4323053,pisco
RIDGES_S,33.78574831,-118.4258496,pisco
RIDGES_N,33.78848,-118.42323,pisco
FLAT_ROCK_N,33.80132468,-118.4074269,pisco
LONG_POINT_E,33.73595,-118.40122,pisco
ESCONDIDO_W,34.02029,-118.77356,pisco
3_PALMS_EAST,33.71810456,-118.3326001,pisco
WHITES_POINT,33.71587645,-118.3253193,pisco
POINT_FERMIN,33.70732309,-118.3001585,pisco
BUNKER_POINT,33.72465,-118.35317,pisco
NICHOLAS_CANYON_W,34.03996,-118.92427,pisco
SCAI_IRON_BOUND_COVE,33.4475,-118.57515,pisco
RESORT_POINT,33.76647796,-118.4274621,pisco
SBI_SUTIL,33.46585,-119.04821,pisco
HAWTHORNE_REEF,33.7470318,-118.4178193,pisco
SCAI_ITALIAN_GARDENS,33.4177,-118.38832,pisco
SCAI_ITALIAN_GARDENS,33.41026342,-118.378769,pisco
120_REEF,33.73749,-118.39227,pisco
ABALONE_COVE_KELP_W,33.73922,-118.38789,pisco
UNDERWATER_ARCH,33.75146441,-118.4171149,pisco
SCAI_CHINA_POINT,33.33032,-118.46975,pisco
SCAI_INDIAN_ROCK,33.46887,-118.52617,pisco
LUNADA_BAY,33.77105924,-118.4310422,pisco
SCAI_BLUE_CAVERN,33.44802,-118.47947,pisco
LAGUNA_BEACH,33.53026,-117.78096,pisco
CRYSTAL_COVE,33.56275,-117.8377,pisco
SCAI_CAT_HARBOR,33.42609,-118.51181,pisco
DANA_POINT,33.46668,-117.72419,pisco
SAN_MATEO_KELP,33.38399,-117.61091,pisco
LEUCADIA,33.0636,-117.30932,pisco
SWAMIS,33.03574,-117.30134,pisco
SWAMIS,33.0182506,-117.2887824,pisco
SCAI_SALTA_VERDE,33.31458,-118.42152,pisco
SBI_CAT_CANYON,33.46442,-119.04408,pisco
SCAI_HEN_ROCK,33.4001,-118.3669,pisco
SCAI_BIRD_ROCK,33.45217,-118.48767,pisco
SCAI_SHIP_ROCK,33.46302,-118.4914,pisco
HEISLER_PARK,33.54039,-117.79189,pisco
SBI_SOUTHEAST_REEF,33.46293,-119.03127,pisco
Caspar North,39.364647,-123.822133,reef_check
Gerstle Cove,38.56646,-123.329964,reef_check
Point Arena Ref,38.908001,-123.719101,reef_check
Divers Cove,33.543393,-117.796384,reef_check
Mendocino Headlands,39.305283,-123.811218,reef_check
Salt Creek,33.47715,-117.727364,reef_check
Heisler Park,33.542039,-117.792745,reef_check
Crystal Cove,33.564894,-117.834988,reef_check
Little Corona Del Mar,33.587859,-117.869271,reef_check
Caspar South,39.361729,-123.822449,reef_check
Stillwater Sonoma,38.5459,-123.29991,reef_check
Fort Ross,38.510601,-123.245064,reef_check
Portuguese Beach,39.302264,-123.803283,reef_check
Shaws Cove,33.543961,-117.799858,reef_check
Van Damme,39.271915,-123.795914,reef_check
Ocean Cove,38.555119,-123.305664,reef_check
Trinidad,41.05424,-124.14468,reef_check
Seal Rock,33.545227,-117.80439200000001,reef_check
Point Arena MPA,38.946169,-123.73895,reef_check
Big Creek,36.068272,-121.601619,reef_check
Pebble Beach,38.698219,-123.443249,reef_check
